Run,P,N,Time
1,1,5000,1.566549
2,1,5000,1.573564
3,1,5000,1.580290
4,1,5000,1.565920
5,1,5000,1.587795
6,1,5000,1.582677
7,1,5000,1.579424
8,1,5000,1.576867
9,1,5000,1.598142
10,1,5000,1.556202
1,2,5000,1.306606
2,2,5000,1.306742
3,2,5000,1.325112
4,2,5000,1.336190
5,2,5000,1.332462
6,2,5000,1.331327
7,2,5000,1.315979
8,2,5000,1.295448
9,2,5000,1.316184
10,2,5000,1.320492
1,4,5000,1.309003
2,4,5000,1.453738
3,4,5000,1.322514
4,4,5000,1.465357
5,4,5000,1.331417
6,4,5000,1.516601
7,4,5000,1.542025
8,4,5000,1.521738
9,4,5000,1.314043
10,4,5000,1.456868
1,8,5000,1.430323
2,8,5000,1.442663
3,8,5000,1.458687
4,8,5000,1.272028
5,8,5000,1.336595
6,8,5000,1.373691
7,8,5000,1.512039
8,8,5000,1.480002
9,8,5000,1.467383
10,8,5000,1.453519
