Run,P,N,Time
1,1,5000,0.923241
2,1,5000,0.961156
3,1,5000,0.911605
4,1,5000,0.865470
5,1,5000,0.955029
6,1,5000,0.877066
7,1,5000,0.915162
8,1,5000,0.860993
9,1,5000,0.928989
10,1,5000,0.937258
1,2,5000,0.510115
2,2,5000,0.481391
3,2,5000,0.520471
4,2,5000,0.478283
5,2,5000,0.494248
6,2,5000,0.505128
7,2,5000,0.482245
8,2,5000,0.517152
9,2,5000,0.524861
10,2,5000,0.503642
1,4,5000,0.304949
2,4,5000,0.335398
3,4,5000,0.310471
4,4,5000,0.317940
5,4,5000,0.316213
6,4,5000,0.315004
7,4,5000,0.314265
8,4,5000,0.317975
9,4,5000,0.329545
10,4,5000,0.325409
1,8,5000,0.175239
2,8,5000,0.177282
3,8,5000,0.179140
4,8,5000,0.176388
5,8,5000,0.172366
6,8,5000,0.169396
7,8,5000,0.204974
8,8,5000,0.175324
9,8,5000,0.183120
10,8,5000,0.184171
