Run,P,N,Time
1,1,10000,5.543976
1,1,10000,5.539902
2,1,10000,5.579930
1,1,10000,5.531715
2,1,10000,5.540098
2,1,10000,5.534508
3,1,10000,5.529978
2,1,10000,5.540582
3,1,10000,5.543729
3,1,10000,5.538779
1,2,10000,2.774720
1,2,10000,2.768975
1,2,10000,2.772163
2,2,10000,2.765188
3,1,10000,5.542342
2,2,10000,2.770779
2,2,10000,2.767340
3,2,10000,2.772954
1,2,10000,2.774139
1,4,10000,1.385479
3,2,10000,2.770390
3,2,10000,2.765924
2,2,10000,2.770448
2,4,10000,1.386995
1,4,10000,1.385598
1,4,10000,1.385093
3,2,10000,2.769764
3,4,10000,1.385765
2,4,10000,1.384880
2,4,10000,1.384399
1,4,10000,1.387062
1,8,10000,0.693176
3,4,10000,1.384480
3,4,10000,1.384775
2,8,10000,0.694409
2,4,10000,1.385406
1,8,10000,0.693289
1,8,10000,0.692524
3,8,10000,0.694451
2,8,10000,0.692925
2,8,10000,0.693001
3,4,10000,1.388037
1,12,10000,0.465088
3,8,10000,0.693480
3,8,10000,0.693336
1,8,10000,0.694260
2,12,10000,0.479285
1,12,10000,0.463119
1,12,10000,0.463015
2,8,10000,0.693465
3,12,10000,0.498851
2,12,10000,0.462368
2,12,10000,0.463010
3,8,10000,0.693740
1,16,10000,0.407980
3,12,10000,0.463152
3,12,10000,0.462818
1,12,10000,0.464653
2,16,10000,0.413603
1,16,10000,0.347571
1,16,10000,0.347581
2,12,10000,0.463301
3,16,10000,0.361959
2,16,10000,0.347401
2,16,10000,0.347417
3,12,10000,0.557369
1,24,10000,0.239481
3,16,10000,0.347259
3,16,10000,0.347371
1,16,10000,0.349860
2,24,10000,0.400786
1,24,10000,0.232639
1,24,10000,0.237939
2,16,10000,0.348312
3,24,10000,0.244283
2,24,10000,0.234455
2,24,10000,0.237950
3,16,10000,0.394667
3,24,10000,0.234585
3,24,10000,0.237941
1,24,10000,0.361163
2,24,10000,0.233989
3,24,10000,0.232800
